user_id,campsite_id,user_rating
1,100004,4
1,100006,3.5
1,100007,5
1,100008,2
1,100009,2
1,100010,4.5
1,100011,5
1,100012,4
1,100013,3
1,100014,2.5
1,100020,2
1,100021,1
1,100022,4
1,100026,3
1,100027,5
1,100028,4.5
1,100030,3
1,100032,2
1,100033,5
1,100036,4
2,100004,2.5
2,100006,2
2,100007,1
2,100008,4
2,100009,3
2,100010,5
2,100011,4.5
2,100012,3
2,100013,2
2,100014,5
2,100020,4
2,100021,4
2,100022,3.5
2,100026,5
2,100027,2
2,100028,2
2,100030,4.5
2,100032,5
2,100033,4
2,100036,3
3,100004,3.5
3,100006,5
3,100007,2
3,100008,2
3,100009,4.5
3,100010,5
3,100011,4
3,100012,3
3,100013,2.5
3,100014,2
3,100020,1
3,100021,4
3,100022,3
3,100026,5
3,100027,4.5
3,100028,3
3,100030,4
3,100032,3
3,100033,5
3,100036,4.5
4,100004,4
4,100006,3
4,100007,2.5
4,100008,2
4,100009,1
4,100010,4
4,100011,2.5
4,100012,2
4,100013,1
4,100014,4
4,100020,3
4,100021,5
4,100022,4.5
4,100026,3
4,100027,2
4,100028,5
4,100030,4
4,100032,3
4,100033,3.5
4,100036,5
5,100004,2
5,100006,1
5,100007,4
5,100008,2.5
5,100009,2
5,100010,1
5,100011,4
5,100012,3
5,100013,4.5
5,100014,3
5,100020,2
5,100021,5
5,100022,4
5,100026,4
5,100027,3
5,100028,2.5
5,100030,2
5,100032,1
5,100033,4
5,100036,4
6,100004,3.5
6,100006,5
6,100007,2
6,100008,1
6,100009,4
6,100010,2.5
6,100011,2
